Most Important Keywords,YAKE! Score
smoke weed,0.09667924420371546
day day,0.12083026696559673
day sober,0.12129784717921872
year smoke,0.12837386995656236
day smoke,0.1336969069122267
time day,0.14072138880866433
year sober,0.14236890155638515
year weed,0.1426452431010115
time smoke,0.14396641287690548
weed day,0.14463648690834002
